Date,Ticker,Open,High,Low,Close,AdjClose,Volume
2021-07-06,AAPL,136.53351700878477,139.53574001915328,136.53351700878477,138.4342803955078,138.4342803955078,108181800
2021-07-07,AAPL,139.91586805219617,141.231788943126,139.05809657469072,140.9198760986328,140.9198760986328,104911600
2021-07-08,AAPL,138.00539740279086,140.422778328839,137.11836946520646,139.6234893798828,139.6234893798828,105575500
2021-07-09,AAPL,139.1458132863032,141.97258743167365,139.04833216120844,141.44622802734375,141.44622802734375,99890800
2021-07-12,AAPL,142.51850183873523,142.62572515772004,140.36429329314447,140.85166931152344,140.85166931152344,76299700
2021-07-13,AAPL,140.39350901995925,143.7369156295679,140.00361422588887,141.96286010742188,141.96286010742188,100827100
2021-07-14,AAPL,144.36078433286042,145.79367103404422,143.95137538377713,145.38426208496094,145.38426208496094,127050800
2021-07-15,AAPL,145.47199168239987,146.21279783696795,143.3762659892824,144.73117065429688,144.73117065429688,106820300
2021-07-16,AAPL,144.7116829108476,145.97884856339024,142.1968210625346,142.69393920898438,142.69393920898438,93251400
2021-07-19,AAPL,140.12058929133983,140.43251704679776,138.0931035014654,138.85340881347656,138.85340881347656,121434600
2021-07-20,AAPL,139.83792120496685,143.38601770583355,139.35054523026795,142.45999145507812,142.45999145507812,96350000
2021-07-21,AAPL,141.8556348529318,142.44049190950972,140.97836414159778,141.72891235351562,141.72891235351562,74993500
2021-07-22,AAPL,142.25529492286392,144.4582288663732,142.1285724161041,143.0935821533203,143.0935821533203,77338200
2021-07-23,AAPL,143.82463382519293,144.96509166825837,143.210535419876,144.8091278076172,144.8091278076172,71447400
2021-07-26,AAPL,144.5264642055409,146.04707474588002,143.97084849928373,145.22828674316406,145.22828674316406,72434100
2021-07-27,AAPL,145.35500444699645,145.4427434254304,141.87514775749966,143.06434631347656,143.06434631347656,104818600
2021-07-28,AAPL,141.15382825419624,143.25929604709813,138.94113715127986,141.3195343017578,141.3195343017578,118931200
2021-07-29,AAPL,141.03684881635502,142.8498878684949,140.92962551695572,141.96286010742188,141.96286010742188,56699500
2021-07-30,AAPL,140.73469364228038,142.63545700170118,140.47150644681145,142.1773223876953,142.1773223876953,70440600
2021-08-02,AAPL,142.66470486730785,143.2398049839172,141.58272954059322,141.84591674804688,141.84591674804688,62880000
2021-08-03,AAPL,142.12858155366985,144.30227426975748,141.51448305654833,143.6394500732422,143.6394500732422,64786600
2021-08-04,AAPL,143.55165845618066,144.05851853037126,142.58664911075073,143.23973083496094,143.23973083496094,56368300
2021-08-05,AAPL,143.2690486927029,144.10733603044793,142.4795019309908,143.34703063964844,143.34703063964844,46397700
2021-08-06,AAPL,142.8687074712915,143.6106236198985,142.16583326910765,142.6636962890625,142.6636962890625,54126800
2021-08-09,AAPL,142.72225212556916,143.21035833317768,142.05843483321482,142.6148681640625,142.6148681640625,48908700
2021-08-10,AAPL,142.95653516321173,144.19632898598317,141.84365370926938,142.1365203857422,142.1365203857422,69023100
2021-08-11,AAPL,142.5757719782956,143.22983226015378,142.06813754468416,142.39028930664062,142.39028930664062,48493500
2021-08-12,AAPL,142.71249604702388,145.50446416374157,142.37081574173467,145.3482666015625,145.3482666015625,72282600
2021-08-13,AAPL,145.42634081402107,145.88516176552068,144.74299521470792,145.55325317382812,145.55325317382812,59375000
2021-08-16,AAPL,145.00657783567002,147.59354953492934,142.98582599022765,147.52520751953125,147.52520751953125,103296000
2021-08-17,AAPL,146.65639729187643,148.07190241442922,145.54351565601462,146.6173553466797,146.6173553466797,92229700
2021-08-18,AAPL,146.23665278463994,147.13476660342323,142.6734678004844,142.87847900390625,142.87847900390625,86326000
2021-08-19,AAPL,141.5800696426097,144.4794213850425,141.0626783117476,143.21034240722656,143.21034240722656,86960300
2021-08-20,AAPL,143.9327425154178,144.9675251601663,143.28843882859866,144.66490173339844,144.66490173339844,60549600
2021-08-23,AAPL,144.7820517027598,146.61733569322217,144.37204430196212,146.1487579345703,146.1487579345703,60131800
2021-08-24,AAPL,145.8949130199866,147.27137582254224,145.6020463753851,146.0608673095703,146.0608673095703,48606400
2021-08-25,AAPL,146.24637657624294,146.74425443123712,144.28419502392072,144.83087158203125,144.83087158203125,58991300
2021-08-26,AAPL,144.82109417148567,145.57276688380205,144.00106455542348,144.0303497314453,144.0303497314453,48597200
2021-08-27,AAPL,143.97180225819312,145.2115961914639,143.33727014912955,145.06517028808594,145.06517028808594,55802400
2021-08-30,AAPL,145.45562564226032,149.83882401907485,145.07490345956626,149.4776153564453,149.4776153564453,90956700
2021-08-31,AAPL,149.02859613337498,149.16526528048843,147.69117494824357,148.2183380126953,148.2183380126953,86453100
